iter	Passed	Remaining
1164	614554	1723391
1165	615041	1722749
1166	615537	1722134
1167	616026	1721497
1168	616501	1720823
1169	616984	1720172
1170	617462	1719509
1171	617976	1718945
1172	618463	1718306
1173	618995	1717791
1174	619578	1717417
1175	620101	1716879
1176	620633	1716365
1177	621088	1715639
1178	621600	1715067
1179	622065	1714370
1180	622649	1714000
1181	623196	1713527
1182	623677	1712873
1183	624181	1712280
1184	624690	1711703
1185	625242	1711244
1186	625749	1710663
1187	626246	1710054
1188	626750	1709463
1189	627262	1708895
1190	627755	1708274
1191	628280	1707741
1192	628811	1707224
1193	629327	1706668
1194	629870	1706184
1195	630447	1705793
1196	630964	1705237
1197	631465	1704640
1198	631934	1703956
1199	632435	1703360
1200	632995	1702921
1201	633526	1702404
1202	634047	1701862
1203	634539	1701240
1204	635034	1700626
1205	635573	1700133
1206	636069	1699523
1207	636591	1698982
1208	637145	1698526
1209	637715	1698116
1210	638273	1697669
1211	638792	1697122
1212	639272	1696469
1213	639817	1695990
1214	640374	1695542
1215	640896	1695001
1216	641443	1694528
1217	641991	1694056
1218	642552	1693617
1219	643076	1693082
1220	643592	1692527
1221	644106	1691965
1222	644511	1691118
1223	645003	1690498
1224	645507	1689913
1225	645958	1689185
1226	646468	1688616
1227	646956	1687986
1228	647431	1687324
1229	647933	1686734
1230	648400	1686052
1231	648854	1685336
1232	649357	1684748
1233	649853	1684143
1234	650325	1683474
1235	650773	1682745
1236	651240	1682062
1237	651732	1681450
1238	652280	1680976
1239	652794	1680419
1240	653308	1679860
1241	654089	1679989
1242	654633	1679506
1243	655243	1679192
1244	655686	1678452
1245	656211	1677922
1246	656817	1677597
1247	657324	1677021
1248	657911	1676646
1249	658452	1676157
1250	659004	1675693
1251	659519	1675137
1252	660186	1674967
1253	660606	1674169
1254	661131	1673636
1255	661638	1673060
1256	662140	1672469
1257	662639	1671875
1258	663162	1671339
1259	663677	1670781
1260	664138	1670088
1261	664696	1669642
1262	665172	1668988
1263	665750	1668589
1264	666341	1668223
1265	666893	1667759
1266	667592	1667662
1267	668174	1667273
1268	668966	1667407
1269	669524	1666958
1270	670019	1666349
1271	670911	1666729
1272	671501	1666358
1273	672063	1665916
1274	672898	1666148
1275	673426	1665621
1276	674098	1665451
1277	674653	1664990
1278	675143	1664367
1279	675565	1663580
1280	676088	1663039
1281	677066	1663619
1282	678067	1664250
1283	679070	1664885
1284	680375	1666257
1285	681624	1667489
1286	682507	1667820
1287	683321	1667984
1288	683976	1667757
1289	684640	1667550
1290	685205	1667103
1291	685981	1667168
1292	686525	1666669
